brickname,ra,dec,lrg_density_v1_pure_massive,n_gal,ebv,psfsize_r
0039m320,3.970588235294118,-32.0,2421.562690107813,6120,0.013975935,1.0306951
2032m072,203.2867132867133,-7.25,2034.1536504233,3595,0.035188287,1.472363
3498p262,349.8454404945904,26.25,1811.5058050910511,2145,0.08159061,1.2509016
0764m040,76.48122392211404,-4.0,1425.4957863675395,2557,0.19323263,1.1945326
3384p245,338.4603658536585,24.5,1393.7600569848792,2582,0.04398174,2.0040545
3501p262,350.1236476043277,26.25,1346.6060852004275,2671,0.08942256,1.3162202
1629m212,162.9910714285714,-21.25,1345.9124503417977,2332,0.057188407,1.4363481
0036m320,3.676470588235294,-32.0,1331.0576376089282,5453,0.014893223,1.0436339
0671p102,67.1509167842031,10.25,1312.9097033504563,1690,0.37561888,1.4110125
3466p105,346.6713681241185,10.5,1281.911165281036,2511,0.05093031,1.8811544
2625p180,262.5218658892128,18.0,1250.2596738996697,3166,0.058583606,1.3458279
1892m175,189.2877906976744,-17.5,1186.2834925854302,3493,0.04012763,1.0225111
1470p132,147.051282051282,13.25,1185.9723799563003,2423,0.04754616,1.1902401
3533p225,353.3783783783784,22.5,1185.4368781368032,1779,0.06282273,1.4929954
1956p052,195.6685236768802,5.25,1169.6633017912686,2208,0.03489625,1.3373544
1469p115,146.9830028328612,11.5,1152.7425431327838,1821,0.027795646,1.2706796
1467p115,146.728045325779,11.5,1136.732230033717,1969,0.029103715,1.2567577
2465p187,246.5446559297218,18.75,1105.960687929315,2140,0.05388583,1.5192157
0217m325,21.72413793103448,-32.5,1059.058297291842,3797,0.029098898,1.2508272
1540p305,154.0996784565916,30.5,1026.6863803885403,2667,0.030167652,1.6403819
