region_id,brickname,ra,dec,area_deg2,n_gal,n_lrg_v1_pure_massive,n_lrg_v2_baseline_dr10,n_lrg_v3_color_relaxed,n_lrg_v4_mag_relaxed,n_lrg_v5_very_relaxed
413,0351p200,35.17699115044248,20.0,0.0623689297799917,2962,0,9,139,322,476
413,0353p197,35.39027982326952,19.75,0.0623753859927209,3067,2,13,135,285,473
413,0356p197,35.65537555228277,19.75,0.0623753859927075,4342,10,30,193,323,522
413,0359p197,35.92047128129602,19.75,0.062375385992709,4189,18,27,180,303,454
413,0359p200,35.97345132743363,20.0,0.0623689297799917,3025,4,14,133,266,396
413,0361p197,36.18556701030928,19.75,0.0623753859927209,3706,7,22,137,267,460
413,0358p195,35.86764705882353,19.5,0.0623806374255103,3736,14,30,157,315,494
413,0360p192,36.07929515418502,19.25,0.0623846875421479,2927,5,17,150,288,475
413,0363p192,36.34361233480176,19.25,0.0623846875421464,3027,3,9,133,238,406
413,0360p190,36.02639296187683,19.0,0.0623875398085988,2913,24,38,160,302,459
413,0357p190,35.76246334310851,19.0,0.0623875398085973,2847,6,21,132,281,476
413,0357p187,35.71010248901904,18.75,0.0623891976930965,2862,7,18,134,260,411
413,0356p185,35.6578947368421,18.5,0.0623896646661371,2661,3,10,142,317,525
413,0353p185,35.39473684210526,18.5,0.0623896646661522,2385,7,18,133,264,447
413,0359p185,35.92105263157895,18.5,0.0623896646661386,3135,4,9,196,370,546
413,0358p192,35.81497797356828,19.25,0.0623846875421434,3103,5,16,167,329,544
2303,3219p127,321.977240398293,12.75,0.0624329581874619,5023,8,13,163,307,480
2303,3221p130,322.1794871794872,13.0,0.062459569989937,5073,7,16,143,269,440
2303,3224p130,322.4358974358975,13.0,0.0624595699898626,4671,7,18,133,256,432
2303,3222p127,322.2332859174965,12.75,0.0624329581873999,5261,6,19,159,320,483
2303,3220p125,322.03125,12.5,0.0624052350415511,4810,5,16,134,244,394
2303,3220p122,322.03125,12.25,0.0624650069691695,4795,0,5,161,299,443
2303,3220p120,322.0851063829787,12.0,0.0624349037102732,5008,4,11,144,275,446
2303,3223p120,322.3404255319149,12.0,0.0624349037102981,3919,10,22,132,248,411
2303,3221p117,322.1388101983003,11.75,0.0624036987428941,4519,4,10,140,269,445
