file,status,flux_min,flux_max,flux_mean,vel_min,vel_max,vel_std,vel_grad,flux_vel_corr,mask_fraction,n_valid_spaxels,total_spaxels,frac_valid_in_1.5Re,flag_low_rotation,flag_heavily_masked,flag_low_flux,usable,lens_score,lens_tier,lens_hard_reject,lens_notes
manga-8652-12703-MAPS.fits.gz,OK,0.0,159.05555725097656,5.236152061931762,-155.50840759277344,274.6210021972656,114.07343271164255,7.072557340743283,-0.0022656731559038,0.476466049382716,2714,5184,0.7604370972261137,False,False,False,True,72.00,good,False,"vel_grad=7.07 ≥ 5 → strong rotation (+30); frac_valid_in_1.5Re=0.76 in [0.60,0.80) → acceptable coverage (+16); vel_std=114.1 in [70,120) → good amplitude (+14); mask_fraction=0.48 in (0.40,0.60] → typical MaNGA masking (+6); flux_max=159.1 in [100,200) → decent line emission (+3); |flux_vel_corr|=0.002 ≤ 0.20 → orthogonal flux/vel (disk-like) (+3)"
manga-12071-12702-MAPS.fits.gz,OK,0.0,315.04425048828125,4.258518788991883,-895.534423828125,434.2195739746094,100.80778835525663,5.2182104806329015,0.0525906489328873,0.4907407407407407,2640,5184,0.5332256109876793,False,False,False,True,0.00,reject,True,frac_valid_in_1.5Re=0.53 < 0.60 → poor coverage
manga-8593-12705-MAPS.fits.gz,OK,0.0,203.2542266845703,3.083763007236904,-398.4020385742187,825.4847412109375,166.37265977959325,8.84582083858946,-0.0518425402131385,0.5215485756026297,2620,5476,0.985134362492853,False,False,False,True,94.00,elite,False,"vel_grad=8.85 ≥ 5 → strong rotation (+30); frac_valid_in_1.5Re=0.99 ≥ 0.90 → excellent coverage (+30); vel_std=166.4 ≥ 120 → very strong signal (+20); mask_fraction=0.52 in (0.40,0.60] → typical MaNGA masking (+6); flux_max=203.3 ≥ 200 → strong line emission (+5); |flux_vel_corr|=0.052 ≤ 0.20 → orthogonal flux/vel (disk-like) (+3)"
manga-9487-9102-MAPS.fits.gz,OK,0.0,225.1593475341797,4.232846528368352,-153.55186462402344,617.8555908203125,67.02396571464345,3.951806757705493,-0.0865458527127579,0.516845703125,1979,4096,0.9930216329378926,False,False,False,True,74.00,good,False,"vel_grad=3.95 in [3,5) → good rotation (+22); frac_valid_in_1.5Re=0.99 ≥ 0.90 → excellent coverage (+30); vel_std=67.0 in [50,70) → modest amplitude (+8); mask_fraction=0.52 in (0.40,0.60] → typical MaNGA masking (+6); flux_max=225.2 ≥ 200 → strong line emission (+5); |flux_vel_corr|=0.087 ≤ 0.20 → orthogonal flux/vel (disk-like) (+3)"
manga-7443-12703-MAPS.fits.gz,OK,0.0,164.28939819335938,4.770189792464584,-408.2344665527344,224.32920837402344,47.32828464577022,1.8102244871741937,-0.0668025727988363,0.487399561723886,2807,5476,1.0,True,False,False,False,0.00,reject,True,usable_flag is False → reject by upstream criteria; flag_low_rotation is True; vel_grad=1.81 < 2.5 km/s/pix → too weak gradient; vel_std=47.3 < 50 km/s → nearly flat field
manga-11013-6101-MAPS.fits.gz,OK,0.2940446734428406,267.1843566894531,22.24055160589139,-177.56886291503906,245.50909423828125,84.36911762400196,3.943229004060937,-0.1866236252720036,0.5665294924554184,1264,2916,1.0,False,False,False,True,80.00,elite,False,"vel_grad=3.94 in [3,5) → good rotation (+22); frac_valid_in_1.5Re=1.00 ≥ 0.90 → excellent coverage (+30); vel_std=84.4 in [70,120) → good amplitude (+14); mask_fraction=0.57 in (0.40,0.60] → typical MaNGA masking (+6); flux_max=267.2 ≥ 200 → strong line emission (+5); |flux_vel_corr|=0.187 ≤ 0.20 → orthogonal flux/vel (disk-like) (+3)"
manga-8993-12705-MAPS.fits.gz,OK,0.0763569250702858,242.32635498046875,5.0127877330872135,-226.53097534179688,172.92355346679688,118.70586745740722,7.591744364411599,0.0546861511787747,0.4756944444444444,2718,5184,0.9870392871607938,False,False,False,True,88.00,elite,False,"vel_grad=7.59 ≥ 5 → strong rotation (+30); frac_valid_in_1.5Re=0.99 ≥ 0.90 → excellent coverage (+30); vel_std=118.7 in [70,120) → good amplitude (+14); mask_fraction=0.48 in (0.40,0.60] → typical MaNGA masking (+6); flux_max=242.3 ≥ 200 → strong line emission (+5); |flux_vel_corr|=0.055 ≤ 0.20 → orthogonal flux/vel (disk-like) (+3)"
manga-11982-9102-MAPS.fits.gz,OK,0.1003226488828659,142.808349609375,5.307423688254235,-134.45262145996094,129.9105987548828,75.02662616142734,5.514241576319198,-0.0598432361043362,0.5,1922,3844,0.9697612732095492,False,False,False,True,86.00,elite,False,"vel_grad=5.51 ≥ 5 → strong rotation (+30); frac_valid_in_1.5Re=0.97 ≥ 0.90 → excellent coverage (+30); vel_std=75.0 in [70,120) → good amplitude (+14); mask_fraction=0.50 in (0.40,0.60] → typical MaNGA masking (+6); flux_max=142.8 in [100,200) → decent line emission (+3); |flux_vel_corr|=0.060 ≤ 0.20 → orthogonal flux/vel (disk-like) (+3)"
manga-12685-9101-MAPS.fits.gz,OK,0.0456884615123271,163.47171020507812,4.438508525562593,-66.767578125,309.2740478515625,79.11033507925879,1.9964386866942971,-0.3507470655550463,0.5143080124869928,1867,3844,1.0,True,False,False,False,0.00,reject,True,usable_flag is False → reject by upstream criteria; flag_low_rotation is True; vel_grad=2.00 < 2.5 km/s/pix → too weak gradient
manga-10500-12703-MAPS.fits.gz,OK,0.0,182.25257873535156,2.2191896305808627,-298.2607727050781,469.603515625,89.74741016069069,5.131143674988812,-0.0425566038191812,0.5111395178962747,2677,5476,1.0,False,False,False,True,86.00,elite,False,"vel_grad=5.13 ≥ 5 → strong rotation (+30); frac_valid_in_1.5Re=1.00 ≥ 0.90 → excellent coverage (+30); vel_std=89.7 in [70,120) → good amplitude (+14); mask_fraction=0.51 in (0.40,0.60] → typical MaNGA masking (+6); flux_max=182.3 in [100,200) → decent line emission (+3); |flux_vel_corr|=0.043 ≤ 0.20 → orthogonal flux/vel (disk-like) (+3)"
